Column_0,Column_1,Column_2
Nadwyżka na funduszu świadczeń emerytalnych,R0050,0
"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,9 066
"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub
inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,5 853 538
Nieruchomości (inne niż do użytku własnego),R0080,0
"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,1 095 513
Akcje i udziały,R0100,0
Akcje i udziały – notowane,R0110,0
Akcje i udziały – nienotowane,R0120,0
Dłużne papiery wartościowe,R0130,4 066 277
Obligacje państwowe,R0140,3 828 388
Obligacje korporacyjne,R0150,237 434
Strukturyzowane papiery wartościowe,R0160,455
Zabezpieczone papiery wartościowe,R0170,0
Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,321 740
Instrumenty pochodne,R0190,26 059
Depozyty inne niż ekwiwalenty środków pieniężnych,R0200,343 949
Pozostałe lokaty,R0210,0
"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości
bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0220,9 831 688
Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,236 641
Pożyczki pod zastaw polisy,R0240,0
Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,236 641
Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,R0270,-34 140
"Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż
ubezpieczenia na życie",R0280,1 122
Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0290,0
Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,1 122
"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń
zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",R0310,-27 876
Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,R0320,-11 802
"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane
w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,-16 074
"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i
ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",R0340,-7 386
Depozyty u cedentów,R0350,0
Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,41 013
Należności z tytułu reasekuracji biernej,R0370,1 722
"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,124 088
Akcje własne (posiadane bezpośrednio),R0390,0
"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale
które nie zostały jeszcze opłacone",R0400,0
Środki pieniężne i ekwiwalenty środków pieniężnych,R0410,280 375
Pozostałe aktywa (niewykazane w innych pozycjach),R0420,5 208
Aktywa ogółem,R0500,16 349 199
Zobowiązania,,
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,75 622
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,0
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0530,0
Najlepsze oszacowanie,R0540,0
Margines ryzyka,R0550,0
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia
na życie)",R0560,75 622
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0570,0
Najlepsze oszacowanie,R0580,70 708
Margines ryzyka,R0590,4 914
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest
ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem
kapitałowym)",R0600,1 497 978
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,-760 714
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0620,0
Najlepsze oszacowanie,R0630,-919 139
Margines ryzyka,R0640,158 425
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których
świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym
funduszem kapitałowym)",R0650,2 258 692
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0660,0
Najlepsze oszacowanie,R0670,2 059 490
Margines ryzyka,R0680,199 203
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy
lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",R0690,8 199 521
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0700,0
Najlepsze oszacowanie,R0710,7 858 158
Margines ryzyka,R0720,341 364
Pozostałe rezerwy techniczno-ubezpieczeniowe,R0730,0
Zobowiązania warunkowe,R0740,0
Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),R0750,119 443
Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,14 875
Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
Rezerwy z tytułu odroczonego podatku dochodowego,R0780,745 967
Instrumenty pochodne,R0790,20 071
Zobowiązania wobec instytucji kredytowych,R0800,0
Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,10 700
Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,66 121
Zobowiązania z tytułu reasekuracji biernej,R0830,6 923
"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,418 253
Zobowiązania podporządkowane,R0850,0
Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,R0860,0
Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,R0870,0
Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,48 287
Zobowiązania ogółem,R0900,11 223 761
Nadwyżka aktywów nad zobowiązaniami,R1000,5 125 437
,,C0010
,,"Wartość bilansowa wg
Wypłacalność II"
,,C0010
Aktywa,,
Wartość firmy,R0010,0
Aktywowane koszty akwizycji,R0020,0
Wartości niematerialne i prawne,R0030,0
Aktywa z tytułu odroczonego podatku dochodowego,R0040,0
Nadwyżka na funduszu świadczeń emerytalnych,R0050,0
"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,6 980
"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub
inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,888 562
Nieruchomości (inne niż do użytku własnego),R0080,0
"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,0
Akcje i udziały,R0100,0
Akcje i udziały – notowane,R0110,0
Akcje i udziały – nienotowane,R0120,0
Dłużne papiery wartościowe,R0130,739 885
Obligacje państwowe,R0140,737 096
Obligacje korporacyjne,R0150,0
Strukturyzowane papiery wartościowe,R0160,2 789
Zabezpieczone papiery wartościowe,R0170,0
Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,116 750
Instrumenty pochodne,R0190,2 070
Depozyty inne niż ekwiwalenty środków pieniężnych,R0200,29 858
Pozostałe lokaty,R0210,0
"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości
bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0220,1 690 890
Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,0
Pożyczki pod zastaw polisy,R0240,0
Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,0
Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,R0270,-8 104
"Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż
ubezpieczenia na życie",R0280,0
Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0290,0
Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,0
"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń
zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",R0310,-6 547
Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,R0320,0
"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane
w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,-6 547
"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i
ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",R0340,-1 557
Depozyty u cedentów,R0350,0
Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,6 527
Należności z tytułu reasekuracji biernej,R0370,0
"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,20 204
Akcje własne (posiadane bezpośrednio),R0390,0
"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale
które nie zostały jeszcze opłacone",R0400,0
Środki pieniężne i ekwiwalenty środków pieniężnych,R0410,5 674
Pozostałe aktywa (niewykazane w innych pozycjach),R0420,2 981
Aktywa ogółem,R0500,2 613 714
Zobowiązania,,
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,0
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,0
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0530,0
Najlepsze oszacowanie,R0540,0
Margines ryzyka,R0550,0
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia
na życie)",R0560,0
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0570,0
Najlepsze oszacowanie,R0580,0
Margines ryzyka,R0590,0
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest
ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem
kapitałowym)",R0600,122 950
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,0
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0620,0
Najlepsze oszacowanie,R0630,0
Margines ryzyka,R0640,0
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w
których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z
ubezpieczeniowym funduszem kapitałowym)",R0650,122 950
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0660,0
Najlepsze oszacowanie,R0670,84 196
Margines ryzyka,R0680,38 754
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone
indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",R0690,1 595 445
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0700,0
Najlepsze oszacowanie,R0710,1 560 484
Margines ryzyka,R0720,34 961
Pozostałe rezerwy techniczno-ubezpieczeniowe,R0730,0
Zobowiązania warunkowe,R0740,0
Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),R0750,14 714
Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,6 967
Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
Rezerwy z tytułu odroczonego podatku dochodowego,R0780,99 893
Instrumenty pochodne,R0790,0
