Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
,,Bezpośrednia działalność ubezpieczeniowa oraz reasekuracja czynna,,,,,,,,,,,,Reasekuracja czynna nieproporcjonalna,,,,"Ogółem
zobowiązania z
tytułu ubezpieczeń
innych niż
ubezpieczenia na
życie"
,,"Ubezpieczenia
pokrycia kosztów
świadczeń
medycznych","Ubezpieczenia na
wypadek utraty
dochodów","Ubezpieczenia
pracownicze","Ubezpieczenia
odpowiedzialności
cywilnej z tytułu
użytkowania
pojazdów
mechanicznych","Pozostałe
ubezpieczenia
pojazdów","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia od
ognia i innych
szkód rzeczowych","Ubezpieczenia
odpowiedzialności
cywilnej ogólnej","Ubezpieczenia
kredytów i
poręczeń","Ubezpieczenia
kosztów ochrony
prawnej","Ubezpieczenia
świadczenia
pomocy","Ubezpieczenia
różnych strat
finansowych","Reasekuracja
nieproporcjonalna
ubezpieczeń
zdrowotnych","Reasekuracja
nieproporcjonalna
pozostałych
ubezpieczeń
osobowych","Reasekuracja
nieproporcjonalna
ubezpieczeń
morskich,
lotniczych i
transportowych","Reasekuracja
nieproporcjonalna
ubezpieczeń
majątkowych",
,,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0170,C0180
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kwoty należne z umów reasekuracji i od spółek celowych
(podmiotów specjalnego przeznaczenia) oraz reasekuracji
finansowej, po dokonaniu korekty ze względu na oczekiwane
straty w związku z niewykonaniem zobowiązania przez
kontrahenta, związane z rezerwami techniczno-
ubezpieczeniowymi obliczanymi łącznie – Ogółem",R0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rezerwy techniczno-ubezpieczeniowe obliczane jako
suma najlepszego oszacowania i marginesu ryzyka
Najlepsze oszacowanie
Rezerwy składek",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Brutto,R0060,0,-10 869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10 869
"Kwoty należne z umów reasekuracji i od spółek celowych
(podmiotów specjalnego przeznaczenia) oraz reasekuracji
finansowej po dokonaniu korekty ze względu na oczekiwane
straty w związku z niewykonaniem zobowiązania przez
kontrahenta – Ogółem",R0140,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Najlepsze oszacowanie dla rezerwy składek netto,R0150,0,-10 945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10 945
Rezerwy na odszkodowania i świadczenia,,,,,,,,,,,,,,,,,,
Brutto,R0160,0,81 577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81 577
"Kwoty należne z umów reasekuracji i od spółek celowych
(podmiotów specjalnego przeznaczenia) oraz reasekuracji
finansowej po dokonaniu korekty ze względu na oczekiwane
straty w związku z niewykonaniem zobowiązania przez
kontrahenta – Ogółem",R0240,0,1 046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 046
"Najlepsze oszacowanie dla rezerwy na odszkodowania i
świadczenia",R0250,0,80 530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80 530
Łączna kwota najlepszego oszacowania brutto,R0260,0,70 708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70 708
Łączna kwota najlepszego oszacowania netto,R0270,0,69 586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69 586
Margines ryzyka,R0280,0,4 914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 914
"Kwota wynikająca z zastosowania przepisów
przejściowych dotyczących rezerw techniczno-
ubezpieczeniowych",,,,,,,,,,,,,,,,,,
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najlepsze oszacowanie,R0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margines ryzyka,R0310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rezerwy techniczno-ubezpieczeniowe – ogółem,,,,,,,,,,,,,,,,,,
Rezerwy techniczno-ubezpieczeniowe – Ogółem,R0320,0,75 622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75 622
"Kwoty należne z umów reasekuracji i od spółek celowych
(podmiotów specjalnego przeznaczenia) oraz reasekuracji
finansowej po dokonaniu korekty ze względu na oczekiwane
straty w związku z niewykonaniem zobowiązania przez
kontrahenta – Ogółem",R0330,0,1 122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 122
"Rezerwy techniczno-ubezpieczeniowe pomniejszone o kwoty
należne z umów reasekuracji i od spółek celowych
(podmiotów specjalnego przeznaczenia) oraz z reasekuracji
finansowej – Ogółem",R0340,0,74 500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74 500
