Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11
R0100,,,,,,,,,,,0
R0160,38 473,14 491,2 202,1 467,65,104,44,74,236,19,
R0170,42 141,16 202,2 648,1 105,77,18,28,1,0,,
R0180,43 982,21 475,3 037,702,163,27,9,271,,,
R0190,48 351,19 571,3 086,1 271,130,125,149,,,,
R0200,52 203,21 587,3 445,1 439,334,79,,,,,
R0210,59 353,22 712,2 720,1 154,216,,,,,,
R0220,62 358,24 143,3 999,1 418,,,,,,,
R0230,58 546,23 148,4 622,,,,,,,,
R0240,64 652,28 706,,,,,,,,,
R0250,71 171,,,,,,,,,,
,,,,,,,,,,R0100,0
,,,,,,,,,,R0160,19
,,,,,,,,,,R0170,0
,,,,,,,,,,R0180,271
,,,,,,,,,,R0190,149
,,,,,,,,,,R0200,79
,,,,,,,,,,R0210,216
,,,,,,,,,,R0220,1 418
,,,,,,,,,,R0230,4 622
,,,,,,,,,,R0240,28 706
,,,,,,,,,,R0250,71 171
,,,,,,,,,,R0260,106 651
,,,,,,,,,,,0
,,,,,,,,,,,57 175
,,,,,,,,,,,62 220
,,,,,,,,,,,69 666
,,,,,,,,,,,72 683
,,,,,,,,,,,79 087
,,,,,,,,,,,86 155
,,,,,,,,,,,91 918
,,,,,,,,,,,86 316
,,,,,,,,,,,93 358
,,,,,,,,,,,71 171
,,,,,,,,,,,769 751
R0100,,,,,,,,,,,1 047
R0160,0,0,0,3 832,3 074,1 729,1 397,565,338,323,
R0170,0,0,4 009,2 644,1 977,1 377,625,564,529,,
R0180,0,9 155,3 771,2 592,2 223,1 936,1 732,1 462,,,
R0190,30 686,8 608,4 598,2 675,3 186,2 954,2 822,,,,
R0200,32 172,9 977,5 536,3 517,2 544,3 429,,,,,
R0210,34 660,9 165,4 969,3 115,2 502,,,,,,
R0220,38 191,10 363,5 954,3 501,,,,,,,
R0230,39 647,11 666,6 543,,,,,,,,
R0240,44 956,13 781,,,,,,,,,
R0250,49 113,,,,,,,,,,
,,,,,,,,,,R0100,1 017
,,,,,,,,,,R0160,306
,,,,,,,,,,R0170,506
,,,,,,,,,,R0180,1 427
,,,,,,,,,,R0190,2 770
,,,,,,,,,,R0200,3 351
,,,,,,,,,,R0210,2 386
,,,,,,,,,,R0220,3 317
,,,,,,,,,,R0230,6 210
,,,,,,,,,,R0240,13 083
,,,,,,,,,,R0250,47 203
,,,,,,,,,,R0260,81 577
