Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
,,Ogółem,"Kategoria 1 -
nieograniczona","Kategoria 1 -
ograniczona",Kategoria 2,Kategoria 3
,,C0010,C0020,C0030,C0040,C0050
Kapitał zakładowy (wraz z akcjami własnymi),R0010,87 268,87 268,,0,
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z kapitałem zakładowym,R0030,0,0,,0,
"Kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych środków własnych w
przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń
opartych na zasadzie wzajemności",R0040,0,0,,0,
"Podporządkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw
reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na zasadzie wzajemności",R0050,0,,0,0,0
Fundusze nadwyżkowe,R0070,0,0,,,
Akcje uprzywilejowane,R0090,0,,0,0,0
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z akcjami uprzywilejowanymi,R0110,0,,0,0,0
Rezerwa uzgodnieniowa,R0130,4 321 680,4 321 680,,,
Zobowiązania podporządkowane,R0140,0,,0,0,0
Kwota odpowiadająca wartości aktywów netto z tytułu odroczonego podatku dochodowego,R0160,0,,,,0
"Pozostałe pozycje środków własnych zatwierdzone przez organ nadzoru jako podstawowe środki własne, niewymienione
powyżej",R0180,0,0,0,0,0
"Środki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie
spełniają kryteriów klasyfikacji jako środki własne wg Wypłacalność II",,,,,,
"Środki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają
kryteriów klasyfikacji jako środki własne wg Wypłacalność II",R0220,0,,,,
Odliczenia,,,,,,
Wartość odliczeń z tytułu udziałów kapitałowych w instytucjach finansowych i kredytowych - ogółem,R0230,0,0,0,0,
Podstawowe środki własne ogółem po odliczeniach,R0290,4 408 948,4 408 948,0,0,0
Uzupełniające środki własne,,,,,,
"Nieopłacony kapitał zakładowy, do którego opłacenia nie wezwano i który może być wezwany do opłacenia na żądanie",R0300,0,,,0,
"Nieopłacony kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych środków własnych
w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń
opartych na zasadzie wzajemności, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na żądanie",R0310,0,,,0,
"Nieopłacone akcje uprzywilejowane, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na
żądanie",R0320,0,,,0,0
Prawnie wiążące zobowiązanie do subskrypcji i opłacenia na żądanie zobowiązań podporządkowanych,R0330,0,,,0,0
Akredytywy i gwarancje zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0340,0,,,0,
Akredytywy i gwarancje inne niż zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0350,0,,,0,0
Dodatkowe wkłady od członków zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0360,0,,,0,
